Date,Open,High,Low,Close,Adj Close,Volume
2010-3-3,58.450001,59.93,58.389999,58.57,47.412971,8833800
2010-3-4,58.790001,59,57.810001,58.450001,47.315845,6195600
2010-3-5,59.41,59.580002,58.900002,59.23,47.947254,6626900
2010-3-8,59.470001,59.490002,58.57,58.91,47.688217,4755100
2010-3-9,58.459999,59.720001,58.400002,59.18,47.906776,7692500
2010-3-10,59.110001,59.5,58.43,58.779999,47.582985,6529900
2010-3-11,58.790001,58.98,57.919998,58.900002,47.680119,6166500
2010-3-12,59.529999,60.490002,59.349998,60.360001,48.861996,9688800
2010-3-15,60.040001,60.25,58.380001,59.470001,48.141541,7906700
2010-3-16,59.650002,59.68,58.84,59.450001,48.125347,7281000
2010-3-17,59.650002,60.5,59.490002,60.220001,48.748672,7925400
2010-3-18,59.610001,60.389999,59.34,59.77,48.384396,7204200
2010-3-19,59.369999,60.310001,58.950001,59.369999,48.060589,9425500
2010-3-22,58.700001,60.27,58.66,59.950001,48.530102,7512500
